reqs,is_functional
The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.,0
The WASP platform should be able to decide how to notify the user of an alert for which an event was set.,1
"The system must enable selective harvesting of metadata, including support for OAI-PMH sets; offer API functionality to re-users, conforming to open standards.",1
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address.,1
The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,0
The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,0
Users shall be able to view at least 25 NFL player statistics and points on each page.,1
Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,1
The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,1
The product shall assign the organizers contact information to each meeting they create.,1
The product shall produce search results in an acceptable time,1
The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.,0
The realtor shall be notified of new client appointments after automatic synchronization with office system,1
All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,1
The search results shall be returned no later 30 seconds after the user has entered the search criteria,1
Only administrators can activate a pre-paid card.,0
User shall be able to create a directed link between requirements in the same document,1
"The system should generate reports on the number and origins of repository end users, including by domain type and geographical location.",1
The streaming server will have anti-virus software to prevent infection of malicious viruses.,0
The GCSMiddleware shall handle multiple GCS,1
The leads washing functionality will validate all leads received by the web service for valid data,1
The website will allow customers to search for movies by title actor or director.,1
Product shall allow entering storing and modifying product menus used by POS terminals.,1
The GCSMiddleware shall handle state messages   monitoring messages  and mode change messages  received from an GCS.,1
The system shall filter data by: Venues and Key Events.,1
The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,0
"The system should be able to support rapid prototyping, so proof of concept work can be carried out quickly and easily.",0
Website shall allow customers to add their own movie review for a selected movie.,1
The RealTimeFlightUI shall display the location of active UAVs as icons on the map.,1
The system shall be able to call the seller or buyer to schedule an appointment,1
The look and feel of the system shall conform to the user interface standards of the smart device.,0
The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.,0
The system must support current open standards and support exposure of metadata in different ways.,0
2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,1
The leads washing functionality shall receive a period list of available reps from the enterprise system.,1
Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.,0
The RealTimeFlightUI shall allow users to follow one or multiple UAVs on the map.,1
100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,0
The WASP platform shall provide functionality for end-users to communicate with their buddies.,1
The system must enable extraction of metadata and data in an open format e.g. to enable migration to another repository platform.,1
The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,0
"The system must ingest and store metadata at a data object level, where a data object is a folder that contains one or more files",1
User shall be able to show / hide each Requirements Table column except ID and Description columns,1
ll additions of new users and modifications to user's access shall be recorded on the User Report.,1
The product shall be able to store new room equipment.,1
The product shall prevent its data from incorrect data being introduced.,0
The product shall be intuitive and self-explanatory. Nine out ten users shall be able to successfully complete a game with no training.,0
The WASP platform should be possible to determine the location of touristic attractions close to a calculated route.,1
When the return to home command is issued  the FlightManager shall return the UAV to its original launch location without issuing any additional waypoint or routing commands.,1
The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,1
90% of untrained realtors shall be able to install the product on their device without printed instructions,0
Only authorized personnel can access customer records in the database.,0
Each custom object attribute can be set as read only in which case user shall be prevented of changing its value for any requirement,1
The audit report shall include the total score of the audit which sums the indivual line items.,1
The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,0
If a client registers for notifications  the UIMiddleware shall send notifications for specific events,1
For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,1
The WASP platform shall provide functionality to retrieve the current location of the user.,1
The document words shall be matched if they have the same prefix as an input keyword without respecting the case,1
Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,1
The website should appeal to all Africans not only Nigerians.,0
Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.,1
The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,1
The product will display an available status for unreserved conference rooms.,1
The system shall be intuitive and self explanatory.,0
The product shall use symbols and words that are naturally understandable by users familiar with websites,0
The WASP platform should allow end-users to delegate and remove the rights to give access to parts of the user profile to other users.,1
The product shall maintain the status of each player for a turn either offensive or defensive.,1
The product shall record different meeting types.,1
A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.,0
The product shall allow a player to position ships horizontally on their grid.,1
All changes updates and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation,0
The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,1
The product shall update existing conference rooms.,1
User shall be able to mark a requirement including all its children as deleted.,1
The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,1
"The template file shall contain information about document structure, definition of custom attributes and traceability definition",1
"The system should unpack a range of file archive formats (e.g. Zip, tar, gz, bz) to allow navigation through the archive folder structure and selective download",1
The system must adhere to the University's Access Control Policy,0
The system should be able to deal with non-Roman scripts and special characters (e.g. those covered in the Unicode v6.2 specification),0
The system could display linked data from other systems using open standards.,1
The product shall store new conference rooms.,1
Each waypoint shall be specified using coordinates that include longitude  latitude  and altitude.,0
The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,0
When a user  cancels a pending flight plan the RouteAssignmentUI shall notify Dronology.,1
A secondary database will be used to store historical statistics and data.,0
"User shall be able to edit requirement text description using following rich text formatting: bold, italic, underline or strikethrough text; numbered list; bullet list; increase or decrease list indent; URL link",1
The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,0
The system must support generation of persistent unique identifiers for datasets including DOIs.,1
The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,0
The system must support access to data sets which may be stored outside the repository e.g. In cloud based storage.,0
he product shall retain the customer's buying preferences and information.,1
Each page shall contain a navigation menu which shows the index into which the current page is contained.,0
The system should retain history of changes to metadata fields,1
The website design should be modern clean and concise.,0
The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group prior to implementation. The remaining 5% will be corrected and approved within one month of product release.,0
The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.,0
The vehicle location shall include street address city state and zipcode,0
Izogn Administrator must be able to update the category listings on the website within 2 minutes.,1
A non-clinical class shall specify the course name lecture room requirements and instructor needs.,0
The RouteCreationUI shall allow a user to delete a route.,1
The PHP code will comply with PEAR standards.,0
hen streaming a movie the buffering time should take no longer than 10 seconds (plus any latency on the user's connection.),0
Website shall allow the Izogn administrator to approve a review posted by a customer.,1
The RouteCreationUI shall allow the user to create and modify a route.,1
The website should have an African feel but should not alienate non-Africans. The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up.,0
The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,0
The system shall allow a real estate agent to query MLS information,1
"The WASP platform must notify the end-user about the occurrence of an event for which an alert was set, as soon as the event occurs.",1
The system must support the previous two major public releases of the chosen operating system,0
All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,0
The system must support the University of Leeds central backup infrastructure,0
"The system must integrate with multiple file systems (archive file appliance, object store etc.)",0
The system shall color code events according to their variance from current time.,1
User shall be able to delete a selected link.,1
If a user account is revoked it can only be re-instantiated by the System Administrator.,0
Only registered realtors shall be able to access the system.,0
The UAVRegistrationManager shall store UAV meta-data information  such as the UAV's technical characteristics,1
If the shot was marked as a hit the product shall allow the offensive player to define a shot.,1
Routine patching of the system shall be possible with no more than 1 hours downtime,0
"Discussion column shall visualize comments related to the requirement. Each comment shall contain its author, date and text",1
The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.,1
Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,1
The system shall allow modification of the display.,1
The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.,0
If a UAV does not have any pending flight plans  then when it reaches the final waypoint of its current flight plan  the SingleUAVFlightPlanScheduler shall notify the UAV to hover in place.,1
Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.,0
Izogn Administrator must be able to add new products to the website within 2 minutes.,1
The system should run in a clustered server environment in an active-passive configuration,0
The product shall be robust.The product shall have fault avoidance based on standards adoption.,0
The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.,0
The product shall record meeting entries.,1
User shall be able to choose if he wants to present the found requirements with or without their structure (all parent section headings on all levels),1
The RouteCreationUI shall only accept valid altitude and speed values for waypoint.,1
If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.,1
The WASP platform should provide services that may be used by WASP applications in order to personalize content for a group of end-users based on their user profiles.,1
The product shall be able to process 10 000 transactions per hour within two years of its launch. This number will increase to 20 000 by Release 2.,0
All screens created as part of the Disputes application must comply with corporate standards for interface creation.,0
The System shall allow for a minimum of 6 users to work at the same time.,0
There must not be any application data on the end-user's device. Only terminal capabilities may be terminal dependent and those capabilities may be stored on the end-user's device.,0
The user shall be able to download appointments and contact information for clients,1
The product shall prevent the player from overlapping ships on their grid.,1
100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,0
The WASP platform must allow end-users to set an alert on an event.,1
The user shall select to save the preferred repair facility ratings.,1
"The system could supply data to research management systems (for example, to enable reporting against the percentage of projects with data associated, analysable by Funder and academic unit).",1
The product will record meeting acknowledgements.,1
The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,1
When a UAV is deactivated the UAVActivationManager shall cancel all current and scheduled flight plans,1
The WASP platform must allow the end-user to remove previously set alerts on events.,1
Maintenance releases will be offered to customers once a year. The releases shall take no longer than 5 minutes for 80% of the customer base to install.,0
User shall be able to open chosen attached PDF document in the browser,1
The product shall be easy for a realtor to learn.,0
The system shall retain the available recycled parts and suppliers returned from the search.,1
Only authorized users shall have access to clinical site information.,0
When the hit results in sinking a ship the product shall mark the ship as sunk on the offensive grid of the offensive player.,1
The UIMiddleware shall only assign one control-client at a time for each UAV.,1
Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,1
The system could visualise and process data within the repository system.,1
User shall be able to follow link in order to navigate to the linked object,1
The lead washing process will operate within the established physical web service structure.,0
The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.,0
The DronologyRuntimeMonitor shall provide functionality to retrieve monitoring messages and distribute them to clients,1
The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,0
A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.,0
The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,0
"ReqView shall track for each change information about change date, reviewer, changed attribute name and changed attribute original value and value after the modification",1
The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,0
For each shot the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,1
Each time a conference room is reserved the conference room schedule shall be updated to reflect the time and date of the reservation.,1
User shall be able to filter only changed requirements from the version stored in the last opened ReqView document,1
When a GCS requests activation of a newly detected UAV  the GCSMiddleware shall forward the request to Dronology.,1
"The system should provide an appropriate method of ensuring the integrity of datasets, such as checksums",0
The product shall record updated meeting agendas.,1
The number of mistakes noted by the students shall be decreased by 50% in the first year.,0
The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.,0
At the start of each turn the product shall notify each player of his or her status.,1
When a game is ended the product shall allow each player to identify himself or herself as an available player in the list of players.,1
For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.,0
The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,0
The application shall ask the user to confirm dropping a player or trading a player before performing the action.,1
Once a game is initiated the product shall display a defensive grid to each player,1
shall be able to stream purchased movie via Windows Media Player for up to 2 days aftere purchase date.,1
"The system must support controlled lists against some metadata fields, either held locally or drawn from an external source e.g. Subject vocabularies",0
The system should support reporting by funder to confirm a particular funder's open access data / deposit requirement has been met.,1
The System shall be able to automatically backup business data and restore them on demand.,1
The system shall provide a history report of changes made to the Activity or Event data,1
The product shall display the grids within a circle as a view from a periscope.,0
"The system must remove data from public view to an access controlled area, a dark archive or full deletion, generating a tombstone reference in the public display which can itself be moved to an access controlled area, a dark archive or deleted.",1
The product shall be able support 1000 simultaneous users.,0
The system must support multiple content licensing options with terms and conditions exposed clearly to human and machine re-users; support default licence setting (minimum CC licences plus others).,0
New branches/complexes/districts/regions and revenue/expense accounts added to the BDW must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end will be loaded into the RFS system prior to the budget start process.,0
Scrolling requirements table shall be smooth with jerks shorter than 200ms,0
User shall be able to navigate in the document by clicking at TOC sections,1
The product shall comply with insurance regulations regarding claims processing.,0
The out-of-the-box user interface shall be intuitive to users,0
"User shall be able to move selected objects including their children before, after or as child of another object",1
An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,0
The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due.,1
The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,0
The product shall able to handle a large number of games simultaneously.,0
When the VaadinUI is activated  the VaadinUI shall be configured according to stored configuration parameters.,1
When the GCS loses the connection to an UAV  the GCS shall attempt to reconnect,1
100% of saved user preferences shall be restored when system comes back online.,1
The system must possess a field for multiple data owners over time (previous owners should not be overwritten).,1
The audit report shall include the number of available recycled parts from the original search results.,1
The WASP platform must provide services that may be used by a WASP application to charge the user for using one of his services.,1
The product shall notify building personnel of equipment transport requests.,1
Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,1
"User shall be able to use the application on Windows, Linux and OSX.",0
User shall be able to encrypt saved file by a strong industry standard encryption and with a user defined password,1
"User shall be able to attach to a selected requirement one or more images or documents (PDF, Word, Excel, Powerpoint, Visio, ...).",1
The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,0
Vendor will submit a credit validation record to be applied to the enterprise billing system.,1
User shall be able to export document to PDF with the same layout as displayed in the Requirements Table,1
Once a game is initiated the product shall allow each player to position their 5 ships on their respective defensive grids.,1
The product shall use a standard navigation menu familiar to most web users.,0
"The WASP platform should have access to information about traffic jams and construction works, as well as suggested alternative routes.",1
User shall be able to display column summarizing all incoming and outgoing links. Each link shall be presented by ID of the linked object and short summary of its description,1
User shall be able to delete any chosen attachment,1
The WASP platform shall provide functionality to search for other people registered in the platform.,1
The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,1
User shall be able to save the current ReqView document as a template file stored on user's local drive,1
The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,1
The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,0
The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds,0
If a flight plan is active and the hover in place command is rescinded  the FlightManager shall notify the UAV to continue to the originally designated waypoint.,1
The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,1
Profiles must have associated expiry dates. The registry must check for their existence and should enforce them. The registry may supply a default expiry date if none was specified.,1
The WASP platform must allow end-users to provide profile and context information explicitly to applications or the platform.,1
The user shall select to view the preferred repair facility ratings.,1
The system should enable implementation of third party preservation tools such as DROID and JHOVE.,0
The current repair facility ratings shall be displayed to the user.,1
The estimator shall search for available recycled parts using a list of preferred parts suppliers.,1
The WASP platform must be able to display a route connecting two or more points on a map.,1
Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,0
When the RealTimeFlightUI is loaded  a map shall be displayed.,1
Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,1
Website shall allow customers to view reviews of selected movies by other customers.,1
The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,1
A Program Administrator/Nursing Staff Member shall be able to add a new nursing student to the system.,1
100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,0
"The system should display file size, format and software application and version for re-users",1
User shall be able to import a structured requirements document from MS Word,1
Daily usage statistics should be logged and accessible by the administrator.,1
The system shall generate an audit report based on the available recycled parts and the collision estimate.,1
he product shall be able to display calendar dates and times according to the user's locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,1
The product shall be available for distribution via the Internet as a binary or ZIP file.,0
"The system should support customisation of out of the box help text and provide context sensitive feedback for the re-user to support search, navigation and re-use.",0
User shall be able to permanently remove selected deleted requirements or all deleted requirements from document,1
he WCS system shall be available at all times as long as IBM's internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM's internal intranet W3 is available.,0
very registered user will have access to the product's support site via the Internet. 70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,0
The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,0
The system shall achieve 95% up time.,0
The out-of-the-box user interface shall meet W3C WCAG 1.0 accessibility requirements.,0
The RealTimeFlightUI shall display the name and status of all currently activated UAVs,1
The system will notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,1
Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.,1
The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,0
Routine patching of the system shall be possible with minimal (i.e. less than 5 minutes) downtime.,0
The system shall use symbols and words that are naturally understandable by the user community.,0
The system shall interface with the faculty central server.,0
The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,0
The GCS shall report newly connected UAVs to the GCSMiddleware.,1
The Disputes System shall provide view access capability for authorized users of the application.,0
The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,0
The system shall offer the ability to pause and resume the refresh of data.,1
The product shall comply with the estimatics laws relating to recycled parts usage.,0
Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.,0
If the leads score falls within the low average then it will be returned to the supplying vendor,1
User shall be able to authorize ReqView with his Google Drive,1
The WASP platform must maintain a list of events the end-user can be notified about.,1
"The system must import or harvest metadata and associated files from a variety of sources using established standards such as OAI-PMH, OAI-ORE.",1
When the connection to the GCS from the GCSMiddleware is lost  the GCSMiddleware shall notify Dronology and deactivate all associated UAVs.,1
The system must support association of single or multiple files with one metadata record.,1
When the hover in place command is issued  the FlightManager shall halt the UAV in place and maintain its current position.,1
Each route shall include a unique ID  a textual description  and a set of waypoints  all of which are editable in the UI.,1
hile streaming a movie buffering should only occur if there is latency in the user's connection.,0
The VehicleCore shall assign a unique ID to each activated UAV.,1
The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,1
The average number of recycled parts records per day shall be 50 000.,0
The system shall refresh the display every 60 seconds.,1
The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard,0
The WASP platform should offer a tool that helps the 3rd party service provider to specify more complex profiles.,1
The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),1
The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds,1
The system must support versioning of datasets including clear indication of the latest version.,1
"Is shall be possible to run multiple instances of the software for purposes such as QA, development / testing and training e.g. in a virtualised environment",0
When the maximum numbers of allowed activated UAVs has been reached  the UAVActivationManager shall reject any further activation requests.,1
The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.,1
When requested by the user  the RouteAssignmentUI shall display details about the selected UAV and its flight plans.,1
The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.,0
Every user of the system shall be authenticated and authorized.,1
Out of 1000 accesses to the system the system is available 999 times.,0
he system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.,0
User shall be able to save the current document containing unsaved changes when opening another document,1
User shall be able to search requirements with an attribute matching a string keyword by means of the Full Text Search (FTS).,1
The system shall be able to display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in.,1
The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,0
"The system must report on number and speed of data downloads and log number of data requests. Reports should be possible over specified periods of time and against specified subsets of the repository (by Funder, by Creator, by academic unit).",1
For each turn the product shall allow the offensive player to define a shot.,1
ystem shall allow users to update their billing and contact information via the My Account section of the website.,1
A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.,0
"If a requirement has an attachment it shall be shown in the Requirements Table under requirement's text. Image attachments shall be displayed as embedded pictures, for other type of attachments at least file name shall be displayed.",1
The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,1
User shall be able to update the attachment,1
The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,0
System will allow customers to pay for a streaming movie with a pre-paid card.,1
The website shall prevent its data from being corrupted when incorrect data is entered in.,0
The product shall generate a CMA report in an acceptable time.,1
When given a landing command the InternalSimulator shall move the UAV from to the ground altitude corresponding to its current longitude and latitude.,1
he Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant's accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,0
The GCS shall transmit the UAV's properties to the GCSMiddleware,1
The product shall use symbols and words that are naturally understandable by the realtor community.,0
If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30,0
Data integrity scripts will be run on a weekly basis to verify the integrity of the database.,0
We must be able to interface with any HTML browser.,0
The application shall have a downtime of at most 10 minutes per year.,0
The product will be available for licensing as a one-server two-five servers or five-or-more servers license.,0
The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,1
Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,1
Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,1
The UIMiddleware shall provide an interface for registering UI clients.,1
A cohort shall be associated to one Program of Study offered by the department.,1
Users should only have to navigate through a maximum of 4 pages to create an account with the website.,0
The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,0
he system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,0
The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.,1
"The system should be able to support externally managed unique entities e.g. identifiers such as ORCID, ResearcherID",1
The GCSMiddleware  shall follow a predefined set of steps to establish a connection between a GCS and Dronology,1
The product shall allow the player to position ships vertically on their grid.,1
The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.,1
It must be possible for a WASP application to send out messages to users using the WASP platform.,1
The WASP platform must be able to retrieve location information from the 3G Platform.,1
he system must be available for use between 7:00AM and 11:59PM all days of the year.,0
