reqs,is_functional
he system shall reveal private information only in compliance with the organization's information policy.,0
When given two coordinates the CoordinateSystem shall compute the direction from the first coordinate to the second coordinate.,1
When a game is ended the product shall allow each player to remove himself or herself from the list of players.,1
User shall be able to add a new comment for the selected object in Requirements Table.,1
When the hit results in sinking a ship the product shall notify the players that the ship was sunk.,1
User shall be able to input up to 10 filtering criterions. Each criterion can be a text keyword or name of attribute with the matched value,1
Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system identified by start month and year.,1
The product must be designed using Design Patterns and coding best practices. 90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,0
"The WASP platform should be able to calculate a route between two or more arbitrarily chosen points, avoiding traffic jams or construction works.",1
The website shall be capable of supporting 100 000 customers.,0
For leads that process longer than 25 seconds the system will record the event and duration,1
User shall be able to save the current document containing unsaved changes when creating a new document,1
"The system must link to associated research outputs, potentially in other systems e.g. Published papers.",1
The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due.,1
The system must support permanent data destruction to meet any legal or ethical requirements.,1
system shall be able to handle all of the user requests/usage during business hours.,0
The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,1
All actions that modify an existing dispute case must be recorded in the case history.,1
he interface shall have a simple look. In the interface and usability survey 90% of beta testers must report that the interface is adequately simple.,0
The website shall be attractive to all audiences. The website shall appear to be fun and the colors should be bright and vibrant.,0
Once a game has been initiated the product shall make the players assigned to the game unavailable for selection from the list of players.,1
Pre-paid cards shall be distributed via email or via a printed paper card.,1
"The system must be able to connect to a range of storage systems, including the front end storage appliance to an off-site data archive.",0
98% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls,0
"The WASP platform must allow end-users to place triggers in the platform to be alerted automatically for a certain type of services and events, based on his/her context.",1
The product shall be able to be installed in the specified environment within 1 working day.,0
The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.,1
The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,0
The FlightRouteManager shall persist flight routes.,1
Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name and required classes for that Program of Study.,1
The website shall achieve 99.5% up time.,0
An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,0
"The WASP platform shall be able to update status and location information of buddies in the user's buddy list based either on request of the user, after login into the WASP platform and at a regular interval.",1
The system shall be able to display a printable summary for individual clinical sites which will include information on labs being held at that site for the given quarter (Clinical site general information on labs held at that location dates and times of all labs held there).,1
All streaming movie sales will be logged in the database and accessible by the administrator.,1
Links column shall contain list of incoming and outgoing links grouped by link type.,1
The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,0
The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,1
"The WASP platform must be able to render all maps on small, mobile devices, as well as large, fixed terminals.",0
The system shall allow a user to define the time segments,1
The UIMiddleware shall provide a list of all active UAVs,1
The system must adhere to the standards as specified in the University's Information Security Policy,0
The leads washing functionality will insert all leads captured by the web service.,1
Defect reports will be available to technical units on a 24x7 basis.,0
The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.,1
Promotional updates to the website should take a day to update.,0
When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.,1
System shall let the administrator add/remove categories on the website in under 5 minutes.,1
The product shall allow a user to remove himself or herself from the list of players at any time.,1
The product shall have a consistent color scheme and fonts.,0
"The WASP platform shall allow status information to be stored, updated, retrieved and deleted in the user's profile in the WASP platform if the user allows this.",1
There should be an application that provides functionality for mobile users to propose and schedule meetings.,1
For each turn the product shall identify one player as offensive status and one player as defensive status.,1
The InternalSimulator shall approximate the state of the battery,1
The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.,1
The product must support Internet Explorer 5.5 and above.,0
The product must comply with Sarbanes-Oxley.,0
A user may reorder routes or remove flight plans assigned to a UAV as long as the flight has not started execution.,1
A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.,0
The product shall be able to delete room equipment.,1
ReqView shall use REST API to download / upload a requirements document from / to Google Drive web service,1
User shall be able to export ReqView document to HTML using a custom template,1
Once a game is initiated the product shall display an offensive grid to each player.,1
The GCS shall transmit the UAV's current location to the GCSMiddleware,1
The UAVActivationManager shall only activate UAVs that are registered.,0
"There should be detailed documentation available covering the technical architecture of the software, showing the interrelationships between the various software components and supporting services (e.g. web server, database etc.)",0
"The system must support embargo options for metadata and/or associated files at collection, data object and file level.",1
The audit report shall include the percentage of available recycled parts used in the estimate ,1
The System shall allow generation of Inventory Quantity Adjustment documents on demand.,1
The VehicleCore shall associate a {{UAVTYPE}} for each UAV defining its basic attributes.,1
The product shall display a map of the company building showing conference room locations.,1
For each shot the product shall notify the players whether the shot was a hit or miss.,1
"The WASP platform shall follow international standards as much as possible for web service description, invocation, and registries as well as for the profiles of users, points of interests and services, and internal standards should be developed such that they are flexible and easily extensible.",0
Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report),0
System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.,1
The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,1
"User shall be able to work with documents up to 1000 objects, 100 file attachments and 100MB in size",0
The product shall have security.The product shall provide authentication and authorization.,0
User shall be able to create a directed link between objects in two different documents,1
The system should support preservation function by generating reports on repository content.,1
The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.,0
The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,1
"There must be detailed documentation available covering the processes required to install, patch and upgrade the software.",0
The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,1
A WASP application shall be able to setup a phone call connection using the 3G Platform via the WASP platform.,1
The recycled parts search results provided to the estimator shall be retrieved by the system.,1
For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,1
The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.,1
The Disputes System must be accessible by both internal and external users.,0
: The product shall continue to operate during upgrade change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,0
When requested  the RouteCreationUI shall send a newly created or modified route to dronology.,1
PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,0
The product shall maintain a list of players.,1
The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.,0
"The system should have a simple process for ingesting large (multi-TB) data sets, potentially consisting of thousands of files.",0
Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,1
The product shall ensure that only company employees or external users with company-approved user IDs may have product access. 100% of all logons shall be by either company employees or external users with company-approved user IDs.,0
"User shall be able to insert a new object before, after or as a child of a selected requirement",1
The product shall be able to support multiple remote users,1
The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.,0
The system shall be used by realtors with no training.,0
viewing a movie details the website will display the movies description actor and director entered in by the administrator.,1
User shall be able to download chosen attached document to the local file system,1
The product shall comply with corporate color scheme,0
The adjuster shall request a recycled parts audit of the collision estimate.,1
he product shall ensure that the database's data corresponds to the data entered by the user. Each conference room reservation in the system will contain the same information as was entered by the user.,0
The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports,0
The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,0
"The system should support customisation of out of the box help text and provide context sensitive feedback for the depositor e.g. Highlight missing metadata fields, file upload failure alert.",1
The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.,0
The RealTimeFlightUI shall allow users to perform emergency operations (e.g. hovering multiple UAVs  sending multiple UAVs to home) to a group of UAVs,1
For each class within a sequence for a cohort Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.,1
Each custom object attribute can have a text field presented to the user as column heading,1
The website shall continue to operate if the streaming server goes down.,0
n a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.,0
When loading the map view it shall be positioned at the pre-defined location,1
The system must support access to data sets which may be stored in other national or international repositories.,0
he product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.,1
The system should generate reports on repository content growth pattern over time.,1
When a flight route requires a customized takeoff altitude that differs from the system's default takeoff altitude  it shall be specified in the flight route.,1
he product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.,0
he system shall interface with CampusConnect's central server,0
The WASP platform must be able to draw a map of a given area.,1
All authorized users once authenticated must be able to logon to the Disputes System,0
System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,1
The appearance of the product shall appear professional,0
The product shall be capable of handling up to 1 000 concurrent requests. This number will increase to 2 000 by Release 2. The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,0
he product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.,1
The WASP platform shall be able to obtain the geographic location of points of interests.,1
User shall be able to export the printout to PDF,1
When the hit results in sinking a ship the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,1
Only authorized personnel can access sales information.,0
User shall be able to create a new document using a predefined or custom template,1
The system must enable depositor and repository manager to specify granular access rights to the deposited data files at collection and data object level.,1
User shall get visual information if requirements changed from the original version,1
User shall be able to open a document stored on user's Google Drive by providing its name,1
Movies can only be streamed if the customer has purchased a movie and is within the 2-day time period to stream the movie.,1
The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table,0
The server will support a maximum of 1 000 simultaneous users.,0
The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,1
The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,0
he system shall protect private information in accordance with the organization's information policy.,1
The product shall allow the user to select a chosen language from one of the target market countries.,1
When a route is assigned or removed from a UAV  the RouteAssignmentUI shall notify Dronology.,1
The product shall make inactive players unavailable for selection from the list of players.,1
The ObjectAvoidance system only issues commands within the capabilities of the UAV,1
The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,1
The notification of the game ending will include the reason the game is ended (i.e. a player has won the game or a player has ended the game).,1
he product shall prevent the input of malicious data. The product and/or adjacent hardware/software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.,0
he WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user's computer.,0
The Disputes application shall ensure that only authorized users are allowed to logon to the application.,0
The WASP platform must maintain authentication credentials per user.,1
The product shall record all the equipment that has been reserved.,1
The ActivityLogger shall log all commands sent to and messages received from a CGS.,1
The system could import and display impact measures such as citation data from external sources e.g. Thomson Reuters Data Citation Index and track alt-metrics such as links and likes.,1
The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data. The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,0
The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,1
The product shall be able to be installed in any operating environment within 2 days.,0
The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,0
When a new monitoring message is received the DronologyRuntimeMonitor shall forward the message to all subscribed clients,1
The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.,0
ID column shall contain a unique identifier,1
The top 1/4 of the table will hold events that are to occur sequentially.,1
The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,0
When the offensive player takes a shot the product shall simulate the sound of a ship at sea.,1
When both players have positioned their 5 ships on their defensive grids the product shall define the status of each player for the first turn.,1
The product shall comply with corporate User Interface Guidelines,0
The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.,1
Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,1
The product will update existing room equipment.,1
The system should support a range of server operating systems,0
The product shall conform to the Americans with Disabilities Act.,0
The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,0
User shall be able to filter all requirements by the given value of any attribute,1
The washing process must use a non binding neutral data format such as xml when receiving and processing lead data.,0
The product shall prevent a player from viewing the offensive or defensive grids of the other player.,1
If a scheduled flight is not manually assigned to a UAV  the SingleUAVFlightPlanScheduler shall assign the route automatically to an UAV,1
User shall be able to print the current document,1
The InternalSimulator shall approximate the behavior of a UAV.,1
Each page shall contain a similar format with action items in one location and navigation buttons in a different location.,0
he response shall be fast enough to avoid interrupting the user's flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,0
The website should cater to all tribes in Nigeria.,0
"Criterions can be connected into logical clauses using AND, OR and NOT operators",1
The product shall retain user preferences in the event of a failure.,1
The WASP platform must be able to retrieve status information from the 3G Platform.,1
The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.,0
The system must support access to very large data sets (over 1 TB or comprising more than 1000 files).,0
A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.,1
A user's profile must contain at least one charging point for a specific user.,0
All credit card information will be secured on the server and only accessible by authorized Izogn administrators. Information will be encrypted in the database.,0
For each shot the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,1
"The WASP platform shall allow other users, WASP applications and/or the 3G Platform to ask the end- user for access rights on parts of the user profile.",1
The system must enable immediate access to and download of datasets where available,1
When requested  the SingleUAVFlightPlanScheduler shall schedule a route for execution.,1
The system shall contain contact information (e-mail and phone number) for all people relevant to the system including (but not limited to) staff members students lecture instructors clinical lab instructors and clinical site administrators.,1
User shall be able to clear the history of all requirements in the document,1
The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,0
The system shall be easy to use by the Program Administrators/Nursing Staff Members.,0
The system shall provide charts for the Activity or Event actual versus assumed time.,1
The system must work with an Active Directory forest containing two domains,0
The SingleUAVFlightPlanScheduler shall maintain a managed list of pending flight plans for Each UAV.,1
Any interface between a user and the automated system shall have a maximum response time of 5 seconds unless noted by an exception below.,0
The software codebase must be managed using recognised source control system.,0
The system must allow specification of mandatory metadata fields.,1
he system will notify affected parties when changes occur affecting specific students including but not limited to changing a student's status from full time to part time and moving a student to a different clinical section.,1
The application shall match the color of the schema set forth by Department of Homeland Security,0
Only registered customers can purchase streaming movies.,0
The MissionPlanner shall execute flight plans for multiple UAVs concurrently.,1
The platform must be able to store POI and service profiles.,1
The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,0
Website shall request and authorize credit card payment before allowing a user to stream a movie.,1
All customer information will be stored on a secure database accessible only to authorized personnel.,0
The estimator shall search for available recycled parts using damaged vehicle parts information.,1
The WASP platform shall provide functionality to find services that match the user's explicit need and obey the restrictions following from the user's profile and current context. For the found services the WASP platform shall provide (links to) the service profiles.,1
The report of needed classes shall include (but not be limited to) classes to be offered number of sections needed number of labs needed and room types needed.,1
A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.,1
The system could run in a clustered server environment in an active-active configuration,0
The product shall be available 24 hours per day seven days per week.,0
System shall let existing customers log into the website with their email address and password in under 5 seconds.,1
Movies shall be encoded for 56k and 256k streams.,0
The product shall be able to send meeting notifications via different kinds of end-user specified methods.,1
User shall be able to undelete a selected requirement including all its children,1
The System shall maintain consistent security. Any changes in user passwords and/or permissions should take affect in all parts of the System.,0
The GCSMiddleware shall forward commands sent from Dronology to a GCS,1
The estimator shall apply selected recycled parts to the collision estimate.,1
Changes to revenue and expense formulae must be applied to the RFS system every year prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt after which 2 weeks will be allotted to testing of the budget calculations to be conducted jointly by the project development team and PCG Finance.,0
The product shall display room equipment according to search parameters.,1
The Disputes System shall provide update access capability for authorized users of the application.,1
The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.,0
Opening or saving a local file shall took less than 10s.,0
The system shall notify customers of changes to its information policy.,1
The UIMiddleware shall enable the creation and modification of flight routes,1
The product shall allow an organizer to invite other employees to meetings.,1
The product shall free of computer viruses.,0
he product shall be translated into foreign languages other than the target market countries' languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that market's language.,0
The product will allow priviledged users to view meeting schedules in multiple reporting views.,1
Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort,1
The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,0
If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,0
The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,0
The system shall display the Events in a graph by time.,1
n a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time.,0
When a flight plan is activated for a UAV currently on the ground  the FlightSchedulingandExecution shall notify the UAV to takeoff vertically until it reaches the prescribed altitude.,1
The WASP platform should allow the end-user to specify the notification type when setting an alert.,1
The search radius shall be between 1 and 30 miles,0
The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,1
The system should enable depositor and repository manager to specify granular access rights to the deposited data files at individual file level.,1
If a command is issued by the VaadinUI for an UAV  the VaadinUI shall request control of that UAV.,1
The system shall be able to display a printable summary of the system log.,1
The system must adhere to the standards as specified in the University's Vulnerability and Penetration Testing Policy,0
Formula substitutionary ingredients shall be kept in persisted order,1
The system must adhere to the standards as specified in the University's Security Logging Policy,0
The leads washing functionality will compile both contact and academic scoring information for a total score.,1
The MissionPlanner shall manage predefined FlightPatterns,1
ach team owner will need to use a username and password in order to be authenticated to reach the team owner's page,0
The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,1
The WASP platform should have a (limited) number of classification schemes for POIs and services.,1
The product shall be available for distribution as a packaged CD.,0
The system shall operate within the Windows XP Professional operating system.,0
User shall be able to sort all columns of the Requirements Table except Discussion and Links column by ascending or descending order. Description column shall be sorted only ascending by document hierarchy order.,1
The system shall prevent malicious attacks including denial of service.,0
The website shall not be offensive to religious or ethnic groups.,0
User shall be able to display and hide Discussion Panel containing all comments for the selected requirement in the Requirement Table.,1
The product shall synchronize with the office system every hour.,1
For each shot the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,1
The product shall allow the user to view previously downloaded search results CMA reports and appointments.,1
The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,0
The message board shall contain the 5 most recently posted messages on the league page. The messages will contain up to the first 150 characters of the message.,1
"The system must generate a variety of reports analysing repository content, including records associated with an academic unit, a funder, grant number, data creator and analysis of data by format, file size and embargo and access conditions.",1
When given a goto command  the InternalSimulator shall update the location of the UAV at increments of {{SIMULATIONSTEPSIZE}} meters  moving it towards the target destination until the destination is reached.,1
The MapComponent shall support different types of map layers (e.g.  terrain  satellite),1
The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,1
The application shall run on a web application server.,0
A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,0
The system should be compliant with the OAIS reference model.,0
User shall be able to define custom object attributes presented as extra columns in the Requirements Table,1
The system shall cater to 10 simultaneous users from 9am to 5pm.,0
The WASP platform shall allow end-users to maintain a buddy list.,1
The product shall simulate the look of ships at sea.,0
User shall be able to export ReqView document to MS Word,1
Website shall allow customers to purchase pre-paid cards of $5 $10 or $20 value either by credit card or mail-in payment option.,1
The system shall resolve the zipcode for the street address city and state if zipcode is unknown.,1
The table side of the display shall be split into 2 regions: sequential and temporal.,0
The owner shall have free access to all of the streaming movies.,0
Only authorized user shall access the RFS system. ONLY users that exist in the UAS system with the RFS system assigned to their role(s) shall access the RFS system and use it.,0
The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,1
Only registered customers can purchase streaming movies.,1
The WASP platform should be able to use several communication services offered by the 3G platform.,0
The preferred repair facility ratings shall be saved by the system.,1
The adjuster shall review the collision estimate.,1
The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,0
The platform must be able to access points of interests and services from a map.,1
User shall be able to expand and collapse all comments in Discussion panel.,1
The system could select multiple objects and save for download (shopping basket).,1
The RealTimeFlightUI shall notify users when an emergency occurs.,1
The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.,1
The system could generate a suggested data citation format / allow depositors to specify data citation format.,1
The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.,1
The product shall allow a user to identify himself or herself as a player.,1
There must be detailed documentation available covering the backup and restore of both the configuration of the system and the data held within it.,0
Aside from server failure the software product shall achieve 99.99% up time.,0
Staff members shall be able to complete a set of tasks in a timely manner.,0
The system must be OpenAire compliant out of the box or with simple customisation.,0
"The system must support open methods of authentication e.g. Shibboleth, OAuth, OpenID",0
The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,0
The website shall protect itself from intentional abuse and notify the administrator at all occurrences.,0
The product shall remove players who have been inactive for 24 hours from the list of players.,1
The adjuster shall enter the preferred repair facility on the estimate assignment.,1
System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,1
The product shall record the transportation status of equipment reserved.,1
The product shall have the ability to send meeting reminders to employees.,1
If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.,1
The application shall show change indicator for requirements changed from the version stored in the opened ReqView document,1
Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,1
The website should use Flash to provide animation on the home page.,0
Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.,1
"The system must support the latest public release of the chosen operating systems, provided the release date was at least 6 months ago. Mitigate risk of version misalignment.",0
The application data shall be stored in a secure storage which is not accessible by other system or web applications,0
The system could support optional end user alerts e.g.to be notified of data change or new versions.,1
The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.,0
If a route contains a specific {{UAVID}}  the SingleUAVFlightPlanScheduler shall assign the route to the given UAV.,1
The system shall have a professional appearance,0
The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,0
Only valid data shall be entered into the system. No invalid data shall be entered into the system.,0
The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,0
If a flight route is assigned to a UAV which is currently hovering in place  the FlightManager shall assign the route and maintain the hover in place mode.,1
When a UAV is selected  the RouteAssignmentUI shall display its active flight plans.,1
The UIMiddleware accepts commands from UIs and forwards to Dronology,1
The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,1
The product must support Mozilla Firefox 1.0 and above.,0
The product is expected to run on Windows CE and Palm operating systems.,0
The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,1
The system must offer customisable workflow to import or create metadata and upload associated files and support multiple ingest protocols e.g. SWORD2,1
User shall be able to save modified document as a file stored on user's local drive,1
